Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DASH-USD,EOS-USD,ETH-USD,MIOTA-USD,LINK-USD,LTC-USD,TRX-USD,USDT-USD,XLM-USD,XMR-USD,XRP-USD
2018-01-01,0.7286570072174072,2432.5400390625,8.414609909057617,13657.2001953125,1053.97998046875,8.843179702758789,772.6409912109375,3.974400043487549,0.7335630059242249,229.0330047607422,0.0516946017742157,1.0072799921035767,0.48000800609588623,358.989990234375,2.3910300731658936
2018-01-02,0.7825869917869568,2711.0,8.837770462036133,14982.099609375,1217.719970703125,9.334710121154785,884.4439697265625,3.996150016784668,0.6737120151519775,255.6840057373047,0.07868169993162155,1.0048999786376953,0.564765989780426,383.4169921875,2.4809000492095947
2018-01-03,1.0796600580215454,2608.68994140625,9.535880088806152,15201.0,1170.739990234375,10.227899551391602,962.719970703125,4.126840114593506,0.6811670064926147,245.3679962158203,0.09470280259847641,1.0134400129318237,0.8962270021438599,412.06298828125,3.105370044708252
2018-01-04,1.1141200065612793,2430.179931640625,9.213990211486816,15599.2001953125,1229.7900390625,11.275500297546387,980.9219970703125,4.082310199737549,0.9843680262565613,241.3699951171875,0.20797400176525116,1.0025299787521362,0.724049985408783,403.0480041503906,3.1966300010681152
2018-01-05,0.9995589852333069,2584.47998046875,14.917200088500977,17429.5,1152.4100341796875,10.839599609375,997.719970703125,3.7544500827789307,0.9074860215187073,249.27099609375,0.22055499255657196,0.9986339807510376,0.6627119779586792,384.9360046386719,3.0487101078033447
2018-01-06,1.02715003490448,2786.64990234375,22.75979995727539,17527.0,1265.030029296875,12.579700469970703,1041.6800537109375,3.942229986190796,1.0635700225830078,296.4540100097656,0.17479699850082397,1.0089900493621826,0.709945023059845,452.77099609375,3.0939700603485107
2018-01-07,1.0085200071334839,2786.8798828125,18.65679931640625,16477.599609375,1285.4300537109375,12.521900177001953,1153.1700439453125,4.070559978485107,1.2704600095748901,288.45098876953125,0.19965499639511108,1.0015699863433838,0.6996449828147888,459.33099365234375,3.377810001373291
2018-01-08,0.8990020155906677,2421.469970703125,18.260900497436523,15170.099609375,1087.75,9.692649841308594,1148.530029296875,3.8458499908447266,1.3773000240325928,255.76300048828125,0.1519930064678192,1.0093200206756592,0.6293230056762695,405.0740051269531,2.456209897994995
2018-01-09,0.8147429823875427,2391.56005859375,17.411800384521484,14595.400390625,1111.8599853515625,9.326939582824707,1299.739990234375,3.537169933319092,1.228279948234558,247.03700256347656,0.1247820034623146,1.0059900283813477,0.5856530070304871,413.3340148925781,2.1017799377441406
2018-01-10,0.7931209802627563,2895.3798828125,17.39080047607422,14973.2998046875,1106.3599853515625,11.338299751281738,1255.8199462890625,3.7838900089263916,1.1887099742889404,250.51800537109375,0.12955300509929657,1.0012799501419067,0.5669299960136414,407.7409973144531,1.9749200344085693
2018-01-11,0.6884120106697083,2462.610107421875,21.042699813842773,13405.7998046875,1007.8800048828125,11.354900360107422,1154.9300537109375,3.3673300743103027,1.0103299617767334,229.36599731445312,0.1090800017118454,1.001710057258606,0.5581259727478027,355.5920104980469,1.9507999420166016
2018-01-12,0.8975080251693726,2620.989990234375,22.316299438476562,13980.599609375,1054.8699951171875,13.745800018310547,1273.199951171875,3.6910300254821777,1.0515600442886353,236.8560028076172,0.10885799676179886,1.0060800313949585,0.6779599785804749,394.7829895019531,2.0432300567626953
2018-01-13,0.8841239809989929,2685.2900390625,22.174400329589844,14360.2001953125,1100.260009765625,16.23390007019043,1396.4200439453125,3.9369800090789795,1.1012300252914429,259.1929931640625,0.10303500294685364,1.002020001411438,0.671563982963562,420.0539855957031,2.0213499069213867
2018-01-14,0.802262008190155,2553.320068359375,20.777299880981445,13772.0,1014.0700073242188,13.435700416564941,1366.77001953125,3.735529899597168,1.0108400583267212,238.6750030517578,0.08478239923715591,1.0161199569702148,0.6308559775352478,399.5190124511719,1.8611899614334106
2018-01-15,0.7785869836807251,2401.5400390625,19.564699172973633,13819.7998046875,939.1900024414062,12.944499969482422,1291.9200439453125,3.4822700023651123,0.8776879906654358,232.7740020751953,0.07569389790296555,1.0066200494766235,0.5992709994316101,414.57000732421875,1.6767300367355347
2018-01-16,0.626492977142334,1772.0699462890625,13.891900062561035,11490.5,759.614990234375,10.275899887084961,1053.68994140625,2.6008501052856445,0.7564529776573181,188.33099365234375,0.05448789894580841,1.0341500043869019,0.441197007894516,320.0369873046875,1.1792399883270264
2018-01-17,0.6291019916534424,1748.050048828125,14.203200340270996,11188.599609375,793.5679931640625,10.194299697875977,1014.25,2.7166199684143066,0.6986340284347534,186.51600646972656,0.07562290132045746,1.0145299434661865,0.47718700766563416,319.1860046386719,1.306339979171753
2018-01-18,0.6598430275917053,1756.75,14.280400276184082,11474.900390625,835.489013671875,10.50510025024414,1036.280029296875,2.754770040512085,0.7442299723625183,192.83700561523438,0.08317910134792328,1.023110032081604,0.5095229744911194,316.4679870605469,1.5965800285339355
2018-01-19,0.6504979729652405,1769.6199951171875,14.940600395202637,11607.400390625,846.1649780273438,11.184499740600586,1039.0999755859375,2.6971700191497803,0.8129050135612488,192.96400451660156,0.08049920201301575,1.004539966583252,0.5062320232391357,364.6210021972656,1.552049994468689
2018-01-20,0.7075099945068359,2032.1199951171875,16.19029998779297,12899.2001953125,926.1209716796875,15.518699645996094,1155.1500244140625,3.0049099922180176,1.2193000316619873,211.01800537109375,0.08520130068063736,1.0011099576950073,0.5346770286560059,383.78900146484375,1.5786199569702148
